ndcluster01;129.240.69.196
ndcluster02;129.240.69.198
ndcluster03;129.240.69.150
ndcluster04;129.240.68.46
ndcluster05;129.240.68.48
ndcluster06;129.240.69.31
ndcluster07;129.240.69.155
ndcluster08;129.240.69.34
ndcluster09;129.240.69.65
ndcluster10;129.240.69.199
ndcluster11;129.240.69.67
ndcluster12;129.240.69.84
ndcluster13;129.240.69.88
ndcluster14;129.240.69.157
ndcluster15;129.240.69.91
ndcluster16;129.240.69.120
ndcluster17;129.240.69.131
ndcluster18;129.240.69.133
ndcluster19;129.240.69.136
ndcluster20;129.240.69.142
ndcluster21;129.240.69.145
ndcluster22;129.240.69.158
ndcluster23;129.240.69.178
ndcluster24;129.240.69.179
ndcluster25;129.240.69.186
ndcluster26;129.240.69.188
ndcluster27;129.240.69.189
ndcluster28;129.240.69.193
ndcluster29;129.240.69.194
ndcluster30;129.240.69.195
